state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
TX,48,"77327",Trintellix,"Vortioxetine Hydrobromide",600,8045.68
TX,48,"76702",Trintellix,"Vortioxetine Hydrobromide",810,8802.27
AL,01,"35802",Trintellix,"Vortioxetine Hydrobromide",1260,17606.18
NC,37,"28601",Trintellix,"Vortioxetine Hydrobromide",930,13114.68
CA,06,"92586",Trintellix,"Vortioxetine Hydrobromide",390,5054.57
OH,39,"45243",Trintellix,"Vortioxetine Hydrobromide",356,4831.42
WI,55,"53226",Trintellix,"Vortioxetine Hydrobromide",1260,16839.1
CA,06,"94901",Trintellix,"Vortioxetine Hydrobromide",780,10524.26
IN,18,"46703",Trintellix,"Vortioxetine Hydrobromide",1920,26982.52
FL,12,"33458",Trintellix,"Vortioxetine Hydrobromide",600,8280.41
NY,36,"11235",Trintellix,"Vortioxetine Hydrobromide",330,4577.54
CA,06,"90815",Trintellix,"Vortioxetine Hydrobromide",390,5389.54
DE,10,"19801",Trintellix,"Vortioxetine Hydrobromide",360,5134.2
OK,40,"74017",Trintellix,"Vortioxetine Hydrobromide",730,10039.67
IN,18,"47711",Trintellix,"Vortioxetine Hydrobromide",454,6406.51
GA,13,"30322",Trintellix,"Vortioxetine Hydrobromide",360,4906.68
IL,17,"60148",Trintellix,"Vortioxetine Hydrobromide",1110,15267.87
MI,26,"49935",Trintellix,"Vortioxetine Hydrobromide",286,4200.61
OR,41,"97062",Trintellix,"Vortioxetine Hydrobromide",420,5585.19
GA,13,"30060",Trintellix,"Vortioxetine Hydrobromide",510,6986.74
PA,42,"17872",Trintellix,"Vortioxetine Hydrobromide",3630,47435.03
AR,05,"72401",Trintellix,"Vortioxetine Hydrobromide",360,5039.87
MD,24,"21286",Trintellix,"Vortioxetine Hydrobromide",900,12230.57
VA,51,"21297",Trintellix,"Vortioxetine Hydrobromide",353,4963.04
LA,22,"71301",Trintellix,"Vortioxetine Hydrobromide",574,8397.02
PA,42,"17043",Trintellix,"Vortioxetine Hydrobromide",1200,16603.04
IN,18,"47802",Trintellix,"Vortioxetine Hydrobromide",930,13111.17
WV,54,"25311",Trintellix,"Vortioxetine Hydrobromide",450,5239.09
TN,47,"37919",Trintellix,"Vortioxetine Hydrobromide",330,4618.11
LA,22,"70390",Trintellix,"Vortioxetine Hydrobromide",900,12365.65
KS,20,"64057",Trintellix,"Vortioxetine Hydrobromide",330,4688.31
IL,17,"60616",Trintellix,"Vortioxetine Hydrobromide",660,8991.56
CA,06,"92683",Trintellix,"Vortioxetine Hydrobromide",2550,35345.44
VA,51,"45202",Trintellix,"Vortioxetine Hydrobromide",364,5286.96
MO,29,"64180",Trintellix,"Vortioxetine Hydrobromide",810,11025.4
MO,29,"64735",Trintellix,"Vortioxetine Hydrobromide",1020,14282.88
RI,44,"02860",Trintellix,"Vortioxetine Hydrobromide",1023,13882.63
NC,37,"27804",Trintellix,"Vortioxetine Hydrobromide",360,5061.74
MO,29,"63017",Trintellix,"Vortioxetine Hydrobromide",225,3258.66
PA,42,"16146",Trintellix,"Vortioxetine Hydrobromide",1072,15723.96
GA,13,"31520",Trintellix,"Vortioxetine Hydrobromide",277,4008.61
IL,17,"62704",Trintellix,"Vortioxetine Hydrobromide",705,9830.84
NY,36,"12159",Trintellix,"Vortioxetine Hydrobromide",360,5110.92
NC,37,"28408",Trintellix,"Vortioxetine Hydrobromide",551,7640.48
OH,39,"45373",Trintellix,"Vortioxetine Hydrobromide",630,8383.53
PA,42,"15219",Trintellix,"Vortioxetine Hydrobromide",450,6357.83
IL,17,"60657",Trintellix,"Vortioxetine Hydrobromide",750,10602.44
WI,55,"54601",Trintellix,"Vortioxetine Hydrobromide",1737,24897.78
MA,25,"01568",Trintellix,"Vortioxetine Hydrobromide",390,5299.84
CA,06,"90048",Trintellix,"Vortioxetine Hydrobromide",3550,48964.66
ND,38,"58601",Trintellix,"Vortioxetine Hydrobromide",2059,28313.23
NY,36,"10314",Trintellix,"Vortioxetine Hydrobromide",480,6256.07
MI,26,"48180",Trintellix,"Vortioxetine Hydrobromide",2490,34048.58
CO,08,"80033",Trintellix,"Vortioxetine Hydrobromide",330,4524.41
TN,47,"37924",Trintellix,"Vortioxetine Hydrobromide",1260,17577.76
RI,44,"01605",Trintellix,"Vortioxetine Hydrobromide",720,17967.45
MO,29,"28646",Trintellix,"Vortioxetine Hydrobromide",975,13717.69
MO,29,"64735",Trintellix,"Vortioxetine Hydrobromide",924,13593.23
CA,06,"91706",Trintellix,"Vortioxetine Hydrobromide",660,8786.23
GA,13,"30338",Trintellix,"Vortioxetine Hydrobromide",1110,15730.61
MA,25,"02114",Trintellix,"Vortioxetine Hydrobromide",840,11858.42
NY,36,"10025",Trintellix,"Vortioxetine Hydrobromide",330,4368.32
PA,42,"17046",Trintellix,"Vortioxetine Hydrobromide",1340,18305.09
OH,39,"43420",Trintellix,"Vortioxetine Hydrobromide",10654,145732.57
AR,05,"71953",Trintellix,"Vortioxetine Hydrobromide",480,6651.22
MI,26,"49746",Trintellix,"Vortioxetine Hydrobromide",600,9480.21
IL,17,"62201",Trintellix,"Vortioxetine Hydrobromide",930,13221.02
NY,36,"11725",Trintellix,"Vortioxetine Hydrobromide",329,4771.63
NJ,34,"07040",Trintellix,"Vortioxetine Hydrobromide",303,4083.57
NM,35,"87701",Trintellix,"Vortioxetine Hydrobromide",360,4983.22
CA,06,"90027",Trintellix,"Vortioxetine Hydrobromide",1110,19251.31
OH,39,"43302",Trintellix,"Vortioxetine Hydrobromide",570,7658.14
PA,42,"17402",Trintellix,"Vortioxetine Hydrobromide",570,7716.83
LA,22,"70570",Trintellix,"Vortioxetine Hydrobromide",1350,17961.83
MI,26,"49024",Trintellix,"Vortioxetine Hydrobromide",2147,28518.05
NY,36,"10010",Trintellix,"Vortioxetine Hydrobromide",1200,16553.28
NY,36,"11374",Trintellix,"Vortioxetine Hydrobromide",4710,65777.03
CT,09,"06412",Trintellix,"Vortioxetine Hydrobromide",420,5530.7
NY,36,"11746",Trintellix,"Vortioxetine Hydrobromide",870,12114.45
NJ,34,"08205",Trintellix,"Vortioxetine Hydrobromide",4020,54841.56
CA,06,"90024",Trintellix,"Vortioxetine Hydrobromide",390,5176.95
TX,48,"79608",Trintellix,"Vortioxetine Hydrobromide",390,5483.62
GA,13,"30080",Trintellix,"Vortioxetine Hydrobromide",510,7018.12
MI,26,"48313",Trintellix,"Vortioxetine Hydrobromide",450,5990.69
NE,31,"68103",Trintellix,"Vortioxetine Hydrobromide",330,4484.15
MO,29,"65742",Trintellix,"Vortioxetine Hydrobromide",259,3661.67
HI,15,"96766",Trintellix,"Vortioxetine Hydrobromide",359,4992.63
MN,27,"55435",Trintellix,"Vortioxetine Hydrobromide",1637,22243.87
GA,13,"31768",Trintellix,"Vortioxetine Hydrobromide",2160,29603.5
NY,36,"12953",Trintellix,"Vortioxetine Hydrobromide",1110,15285.71
MI,26,"48375",Trintellix,"Vortioxetine Hydrobromide",1230,15762.73
GA,13,"31907",Trintellix,"Vortioxetine Hydrobromide",1779,24910.91
MI,26,"49068",Trintellix,"Vortioxetine Hydrobromide",630,8573.86
IL,17,"60604",Trintellix,"Vortioxetine Hydrobromide",720,9930.46
TX,48,"75901",Trintellix,"Vortioxetine Hydrobromide",480,6534.89
OH,39,"45601",Trintellix,"Vortioxetine Hydrobromide",1425,19301.24
TN,47,"37203",Trintellix,"Vortioxetine Hydrobromide",360,5061.74
NY,36,"14221",Trintellix,"Vortioxetine Hydrobromide",498,6716.58
DE,10,"19805",Trintellix,"Vortioxetine Hydrobromide",940,12821.52
WI,55,"54912",Trintellix,"Vortioxetine Hydrobromide",754,10692.87
KY,21,"41105",Trintellix,"Vortioxetine Hydrobromide",2760,41241.09
SC,45,"29732",Trintellix,"Vortioxetine Hydrobromide",934,12892.67
MS,28,"40216",Trintellix,"Vortioxetine Hydrobromide",2580,36184.44
SC,45,"29407",Trintellix,"Vortioxetine Hydrobromide",360,5131.87
FL,12,"32025",Trintellix,"Vortioxetine Hydrobromide",330,4209.48
KS,20,"66622",Trintellix,"Vortioxetine Hydrobromide",390,5469.99
IN,18,"46996",Trintellix,"Vortioxetine Hydrobromide",420,5625.06
AL,01,"35801",Trintellix,"Vortioxetine Hydrobromide",720,9893.12
MI,26,"48176",Trintellix,"Vortioxetine Hydrobromide",1350,17736.64
NY,36,"10128",Trintellix,"Vortioxetine Hydrobromide",480,6872.8
NY,36,"11752",Trintellix,"Vortioxetine Hydrobromide",600,7691.28
GA,13,"31088",Trintellix,"Vortioxetine Hydrobromide",355,5000.66
CA,06,"95404",Trintellix,"Vortioxetine Hydrobromide",367,4854.5
NJ,34,"08204",Trintellix,"Vortioxetine Hydrobromide",720,9777.43
NY,36,"11733",Trintellix,"Vortioxetine Hydrobromide",1410,18601.25
NC,37,"28801",Trintellix,"Vortioxetine Hydrobromide",1106,15638.3
NY,36,"10021",Trintellix,"Vortioxetine Hydrobromide",224,3231.02
CA,06,"94612",Trintellix,"Vortioxetine Hydrobromide",535,15007.83
FL,12,"33647",Trintellix,"Vortioxetine Hydrobromide",1710,23612.44
NC,37,"28739",Trintellix,"Vortioxetine Hydrobromide",1020,14257.52
FL,12,"32117",Trintellix,"Vortioxetine Hydrobromide",1320,17902.51
TN,47,"38024",Trintellix,"Vortioxetine Hydrobromide",930,13057.63
MA,25,"02494",Trintellix,"Vortioxetine Hydrobromide",570,7575.53
PA,42,"18951",Trintellix,"Vortioxetine Hydrobromide",330,4609.44
IA,19,"50702",Trintellix,"Vortioxetine Hydrobromide",390,5753.84
CA,06,"94612",Trintellix,"Vortioxetine Hydrobromide",970,19931.74
TX,48,"75115",Trintellix,"Vortioxetine Hydrobromide",817,11159.57
TX,48,"75503",Trintellix,"Vortioxetine Hydrobromide",3460,46926.97
NC,37,"28219",Trintellix,"Vortioxetine Hydrobromide",450,6345.01
KS,20,"66224",Trintellix,"Vortioxetine Hydrobromide",760,10095.09
WV,54,"25703",Trintellix,"Vortioxetine Hydrobromide",720,9854.68
ME,23,"04096",Trintellix,"Vortioxetine Hydrobromide",573,7773.22
NY,36,"10941",Trintellix,"Vortioxetine Hydrobromide",1500,19261.19
