zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
43230,Zoloft,0,0,N/A,Sertraline Hcl,72879.0,12131.55,0.17
42003,Zoloft,0,0,N/A,Sertraline Hcl,129193.0,20994.83,0.16
76086,Zoloft,0,0,N/A,Sertraline Hcl,151795.0,34728.57,0.23
80227,Zoloft,0,0,N/A,Sertraline Hcl,9042.0,2402.22,0.27
41701,Zoloft,0,0,N/A,Sertraline Hcl,74338.0,12083.36,0.16
98104,Zoloft,0,0,N/A,Sertraline Hcl,166441.0,37422.46,0.22
28358,Zoloft,0,0,N/A,Sertraline Hcl,128140.0,25246.87,0.2
93311,Zoloft,0,0,N/A,Sertraline Hcl,125982.0,23973.92,0.19
14203,Zoloft,0,0,N/A,Sertraline Hcl,43834.0,10718.99,0.24
74114,Zoloft,0,0,N/A,Sertraline Hcl,21164.0,4062.84,0.19
53913,Zoloft,0,0,N/A,Sertraline Hcl,34534.0,6589.33,0.19
33028,Zoloft,0,0,N/A,Sertraline Hcl,48702.0,6479.84,0.13
85260,Zoloft,0,0,N/A,Sertraline Hcl,89791.0,20901.92,0.23
43260,Zoloft,0,0,N/A,Sertraline Hcl,70190.0,10826.26,0.15
16803,Zoloft,0,0,N/A,Sertraline Hcl,116589.0,24797.12,0.21
30606,Zoloft,360.0,6635.28,18.43,Sertraline Hcl,163938.0,29342.93,0.18
13326,Zoloft,360.0,8912.28,24.76,Sertraline Hcl,260977.0,41474.56,0.16
75247,Zoloft,0,0,N/A,Sertraline Hcl,73014.0,17861.86,0.24
53562,Zoloft,360.0,4140.84,11.5,Sertraline Hcl,813864.0,187288.07,0.23
29572,Zoloft,0,0,N/A,Sertraline Hcl,63290.0,16351.65,0.26
10016,Zoloft,0,0,N/A,Sertraline Hcl,286375.0,63793.3,0.22
12180,Zoloft,0,0,N/A,Sertraline Hcl,43863.0,8847.56,0.2
56201,Zoloft,0,0,N/A,Sertraline Hcl,164326.0,26319.56,0.16
73071,Zoloft,0,0,N/A,Sertraline Hcl,95360.0,16370.33,0.17
80903,Zoloft,0,0,N/A,Sertraline Hcl,96676.0,21150.03,0.22
27619,Zoloft,0,0,N/A,Sertraline Hcl,130070.0,29963.25,0.23
40504,Zoloft,0,0,N/A,Sertraline Hcl,155112.0,29395.06,0.19
15232,Zoloft,0,0,N/A,Sertraline Hcl,115492.0,29061.49,0.25
78766,Zoloft,0,0,N/A,Sertraline Hcl,3514.0,1108.01,0.32
