zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
49085,Aricept,0,0,N/A,Donepezil Hcl,43410,11176.59,0.26,0.0,42.074435,-86.47935
34749,Aricept,0,0,N/A,Donepezil Hcl,34866,9808.89,0.28,0.0,28.811078,-81.653642
61103,Aricept,0,0,N/A,Donepezil Hcl,19411,5829.41,0.3,0.0,42.303365,-89.08246
72758,Aricept,0,0,N/A,Donepezil Hcl,32369,6097.39,0.19,0.0,36.306616,-94.14622
78220,Aricept,0,0,N/A,Donepezil Hcl,8058,1472.41,0.18,0.0,29.411583,-98.41833
19904,Aricept,0,0,N/A,Donepezil Hcl,146942,34205.88,0.23,0.0,39.161639,-75.5587
46311,Aricept,0,0,N/A,Donepezil Hcl,35082,10402.91,0.3,0.0,41.491377,-87.51022
98145,Aricept,0,0,N/A,Donepezil Hcl,108284,34242.56,0.32,0.0,47.432251,-121.803388
76104,Aricept,0,0,N/A,Donepezil Hcl,211092,82531.24,0.39,0.0,32.730265,-97.32002
04330,Aricept,0,0,N/A,Donepezil Hcl,37482,14829.62,0.4,0.0,44.344406,-69.76345
27030,Aricept,0,0,N/A,Donepezil Hcl,41965,18293.39,0.44,0.0,36.49376,-80.62336
20852,Aricept,0,0,N/A,Donepezil Hcl,207408,68315.05,0.33,0.0,39.0509,-77.12261
95825,Aricept,0,0,N/A,Donepezil Hcl,33046,9471.96,0.29,0.0,38.594205,-121.40726
02114,Aricept,0,0,N/A,Donepezil Hcl,106957,27596.83,0.26,0.0,42.361792,-71.06774
48114,Aricept,0,0,N/A,Donepezil Hcl,6343,1454.58,0.23,0.0,42.566097,-83.75725
22304,Aricept,0,0,N/A,Donepezil Hcl,10917,4560.42,0.42,0.0,38.813013,-77.11667
02241,Aricept,0,0,N/A,Donepezil Hcl,606878,222559.53,0.37,0.0,42.338947,-70.919635
23435,Aricept,0,0,N/A,Donepezil Hcl,6825,3069.09,0.45,0.0,36.84882,-76.46521
52242,Aricept,0,0,N/A,Donepezil Hcl,90184,33832.42,0.38,0.0,41.662116,-91.54143
03867,Aricept,0,0,N/A,Donepezil Hcl,34698,9353.68,0.27,0.0,43.304163,-70.99816
63128,Aricept,0,0,N/A,Donepezil Hcl,121413,43175.44,0.36,0.0,38.500734,-90.37113
19958,Aricept,0,0,N/A,Donepezil Hcl,53735,17957.16,0.33,0.0,38.746207,-75.16282
35007,Aricept,0,0,N/A,Donepezil Hcl,66433,15677.2,0.24,0.0,33.232422,-86.80871
78748,Aricept,0,0,N/A,Donepezil Hcl,1148,288.95,0.25,0.0,30.17202,-97.82265
91730,Aricept,0,0,N/A,Donepezil Hcl,63934,25820.43,0.4,0.0,34.104555,-117.58734
27157,Aricept,0,0,N/A,Donepezil Hcl,99098,20698.81,0.21,0.0,36.027482,-80.20728
92064,Aricept,0,0,N/A,Donepezil Hcl,12745,5577.38,0.44,0.0,32.973645,-117.03701
91346,Aricept,0,0,N/A,Donepezil Hcl,164448,67801.19,0.41,0.0,33.786594,-118.298662
29621,Aricept,0,0,N/A,Donepezil Hcl,120360,34439.62,0.29,0.0,34.523657,-82.62509
98195,Aricept,0,0,N/A,Donepezil Hcl,16775,5407.52,0.32,0.0,47.432251,-121.803388
33771,Aricept,0,0,N/A,Donepezil Hcl,9320,1671.38,0.18,0.0,27.906088,-82.7553
39216,Aricept,0,0,N/A,Donepezil Hcl,104014,26330.24,0.25,0.0,32.334738,-90.16933
63501,Aricept,0,0,N/A,Donepezil Hcl,31581,11946.67,0.38,0.0,40.183335,-92.58341
55110,Aricept,0,0,N/A,Donepezil Hcl,1300,270.45,0.21,0.0,45.081266,-93.01146
45840,Aricept,0,0,N/A,Donepezil Hcl,80666,35400.22,0.44,0.0,41.037325,-83.64576
16508,Aricept,0,0,N/A,Donepezil Hcl,21198,16169.16,0.76,0.0,42.097856,-80.09147
60612,Aricept,0,0,N/A,Donepezil Hcl,105175,35134.11,0.33,0.0,41.880682,-87.6877
30374,Aricept,0,0,N/A,Donepezil Hcl,935863,298270.15,0.32,0.0,33.844371,-84.47405
19178,Aricept,0,0,N/A,Donepezil Hcl,262348,96736.78,0.37,0.0,40.001811,-75.11787
