zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
06415,Lipitor,0,0,N/A,Atorvastatin Calcium,73645.0,15528.68,0.21,0.0,41.56033,-72.33795
43230,Lipitor,0,0,N/A,Atorvastatin Calcium,541800.0,114729.03,0.21,0.0,40.039963,-82.87855
42003,Lipitor,0,0,N/A,Atorvastatin Calcium,859226.0,177364.75,0.21,0.0,37.044233,-88.59046
76086,Lipitor,0,0,N/A,Atorvastatin Calcium,573737.0,109097.63,0.19,0.0,32.77516,-97.77987
80227,Lipitor,0,0,N/A,Atorvastatin Calcium,42283.0,9400.45,0.22,0.0,39.668576,-105.09191
41701,Lipitor,0,0,N/A,Atorvastatin Calcium,318713.0,61079.42,0.19,0.0,37.274854,-83.19061
98104,Lipitor,0,0,N/A,Atorvastatin Calcium,1384672.0,259488.05,0.19,0.0,47.60252,-122.32855
28358,Lipitor,0,0,N/A,Atorvastatin Calcium,791687.0,153523.74,0.19,0.0,34.620874,-78.98986
93311,Lipitor,0,0,N/A,Atorvastatin Calcium,854936.0,153827.95,0.18,0.0,35.200467,-119.17399
14203,Lipitor,360.0,3950.76,10.97,Atorvastatin Calcium,267996.0,59663.63,0.22,0.001342,42.880107,-78.8699
74114,Lipitor,0,0,N/A,Atorvastatin Calcium,112078.0,21251.26,0.19,0.0,36.126894,-95.94657
53913,Lipitor,0,0,N/A,Atorvastatin Calcium,295592.0,70479.14,0.24,0.0,43.483503,-89.74753
33028,Lipitor,0,0,N/A,Atorvastatin Calcium,523259.0,100811.69,0.19,0.0,26.018418,-80.34798
85260,Lipitor,0,0,N/A,Atorvastatin Calcium,364669.0,74160.55,0.2,0.0,33.606004,-111.88699
43260,Lipitor,0,0,N/A,Atorvastatin Calcium,504923.0,96898.25,0.19,0.0,39.969036,-83.011389
16803,Lipitor,0,0,N/A,Atorvastatin Calcium,721054.0,164841.38,0.23,0.0,40.802661,-77.89936
30606,Lipitor,0,0,N/A,Atorvastatin Calcium,871641.0,161840.21,0.19,0.0,33.945619,-83.41732
13326,Lipitor,0,0,N/A,Atorvastatin Calcium,1130770.0,219952.87,0.19,0.0,42.703091,-74.91413
75247,Lipitor,0,0,N/A,Atorvastatin Calcium,74138.0,19786.69,0.27,0.0,32.817978,-96.87928
53562,Lipitor,0,0,N/A,Atorvastatin Calcium,4242313.0,948607.18,0.22,0.0,43.103711,-89.51106
29572,Lipitor,0,0,N/A,Atorvastatin Calcium,508919.0,120842.96,0.24,0.0,33.765136,-78.79097
10016,Lipitor,6000.0,79185.29,13.2,Atorvastatin Calcium,3249056.0,691596.75,0.21,0.001843,40.74618,-73.97759
12180,Lipitor,0,0,N/A,Atorvastatin Calcium,167472.0,27202.05,0.16,0.0,42.731628,-73.66465
56201,Lipitor,0,0,N/A,Atorvastatin Calcium,528980.0,104573.36,0.2,0.0,45.118846,-95.04504
73071,Lipitor,0,0,N/A,Atorvastatin Calcium,405716.0,88481.75,0.22,0.0,35.225702,-97.42394
80903,Lipitor,0,0,N/A,Atorvastatin Calcium,681788.0,102939.06,0.15,0.0,38.834282,-104.81654
27619,Lipitor,0,0,N/A,Atorvastatin Calcium,491332.0,106625.71,0.22,0.0,35.851463,-78.63141
40504,Lipitor,0,0,N/A,Atorvastatin Calcium,996968.0,218486.72,0.22,0.0,38.039322,-84.54259
15232,Lipitor,0,0,N/A,Atorvastatin Calcium,805886.0,215024.02,0.27,0.0,40.454018,-79.9325
78766,Lipitor,0,0,N/A,Atorvastatin Calcium,6078.0,2708.8,0.45,0.0,30.442202,-97.62333
72034,Lipitor,0,0,N/A,Atorvastatin Calcium,602812.0,118618.02,0.2,0.0,35.074617,-92.444425999999993
06810,Lipitor,2430.0,33669.26,13.86,Atorvastatin Calcium,1506172.0,342200.57,0.23,0.001611,41.390194,-73.45441
62703,Lipitor,0,0,N/A,Atorvastatin Calcium,2547039.0,599543.94,0.24,0.0,39.7715,-89.63612
04412,Lipitor,0,0,N/A,Atorvastatin Calcium,841806.0,233464.83,0.28,0.0,44.78696,-68.7547
47374,Lipitor,0,0,N/A,Atorvastatin Calcium,1674131.0,364008.39,0.22,0.0,39.831061,-84.89067
40258,Lipitor,0,0,N/A,Atorvastatin Calcium,349825.0,78045.63,0.22,0.0,38.141719,-85.86375
84124,Lipitor,0,0,N/A,Atorvastatin Calcium,627181.0,111890.7,0.18,0.0,40.680064,-111.8222
49085,Lipitor,0,0,N/A,Atorvastatin Calcium,771930.0,193494.71,0.25,0.0,42.074435,-86.47935
34749,Lipitor,0,0,N/A,Atorvastatin Calcium,112517.0,22911.29,0.2,0.0,28.811078,-81.653642
61103,Lipitor,0,0,N/A,Atorvastatin Calcium,297025.0,66604.56,0.22,0.0,42.303365,-89.08246
72758,Lipitor,0,0,N/A,Atorvastatin Calcium,937157.0,171781.38,0.18,0.0,36.306616,-94.14622
78220,Lipitor,0,0,N/A,Atorvastatin Calcium,285872.0,39600.53,0.14,0.0,29.411583,-98.41833
19904,Lipitor,0,0,N/A,Atorvastatin Calcium,902905.0,182922.56,0.2,0.0,39.161639,-75.5587
46311,Lipitor,0,0,N/A,Atorvastatin Calcium,419960.0,90721.33,0.22,0.0,41.491377,-87.51022
98145,Lipitor,0,0,N/A,Atorvastatin Calcium,2405230.0,479159.67,0.2,0.0,47.432251,-121.803388
76104,Lipitor,0,0,N/A,Atorvastatin Calcium,2446216.0,460078.75,0.19,0.0,32.730265,-97.32002
04330,Lipitor,0,0,N/A,Atorvastatin Calcium,694023.0,177136.67,0.26,0.0,44.344406,-69.76345
27030,Lipitor,0,0,N/A,Atorvastatin Calcium,245907.0,47453.24,0.19,0.0,36.49376,-80.62336
20852,Lipitor,0,0,N/A,Atorvastatin Calcium,6503779.0,1155407.8,0.18,0.0,39.0509,-77.12261
95825,Lipitor,0,0,N/A,Atorvastatin Calcium,1221600.0,258335.68,0.21,0.0,38.594205,-121.40726
02114,Lipitor,360.0,5787.24,16.08,Atorvastatin Calcium,1321230.0,282096.67,0.21,0.000272,42.361792,-71.06774
48114,Lipitor,0,0,N/A,Atorvastatin Calcium,72169.0,16207.12,0.22,0.0,42.566097,-83.75725
22304,Lipitor,0,0,N/A,Atorvastatin Calcium,140224.0,26946.81,0.19,0.0,38.813013,-77.11667
02241,Lipitor,27300.0,348460.22,12.76,Atorvastatin Calcium,11261680.0,2407503.61,0.21,0.002418,42.338947,-70.919635
23435,Lipitor,0,0,N/A,Atorvastatin Calcium,409955.0,85197.32,0.21,0.0,36.84882,-76.46521
52242,Lipitor,0,0,N/A,Atorvastatin Calcium,1452231.0,268258.44,0.18,0.0,41.662116,-91.54143
03867,Lipitor,0,0,N/A,Atorvastatin Calcium,219949.0,54761.45,0.25,0.0,43.304163,-70.99816
63128,Lipitor,0,0,N/A,Atorvastatin Calcium,1583092.0,306030.58,0.19,0.0,38.500734,-90.37113
19958,Lipitor,360.0,3824.86,10.62,Atorvastatin Calcium,1842778.0,411144.38,0.22,0.000195,38.746207,-75.16282
35007,Lipitor,0,0,N/A,Atorvastatin Calcium,417219.0,82055.21,0.2,0.0,33.232422,-86.80871
78748,Lipitor,0,0,N/A,Atorvastatin Calcium,3653.0,553.22,0.15,0.0,30.17202,-97.82265
91730,Lipitor,0,0,N/A,Atorvastatin Calcium,1155906.0,240928.28,0.21,0.0,34.104555,-117.58734
27157,Lipitor,0,0,N/A,Atorvastatin Calcium,811472.0,151507.72,0.19,0.0,36.027482,-80.20728
92064,Lipitor,0,0,N/A,Atorvastatin Calcium,292521.0,54418.58,0.19,0.0,32.973645,-117.03701
91346,Lipitor,0,0,N/A,Atorvastatin Calcium,2824006.0,709392.57,0.25,0.0,33.786594,-118.298662
29621,Lipitor,0,0,N/A,Atorvastatin Calcium,1137731.0,241264.59,0.21,0.0,34.523657,-82.62509
98195,Lipitor,0,0,N/A,Atorvastatin Calcium,177871.0,37593.21,0.21,0.0,47.432251,-121.803388
33771,Lipitor,0,0,N/A,Atorvastatin Calcium,247818.0,39959.84,0.16,0.0,27.906088,-82.7553
39216,Lipitor,0,0,N/A,Atorvastatin Calcium,1281613.0,226538.4,0.18,0.0,32.334738,-90.16933
63501,Lipitor,0,0,N/A,Atorvastatin Calcium,392605.0,71752.92,0.18,0.0,40.183335,-92.58341
55110,Lipitor,0,0,N/A,Atorvastatin Calcium,60697.0,12465.86,0.21,0.0,45.081266,-93.01146
45840,Lipitor,0,0,N/A,Atorvastatin Calcium,1056635.0,219418.99,0.21,0.0,41.037325,-83.64576
16508,Lipitor,0,0,N/A,Atorvastatin Calcium,525903.0,127689.32,0.24,0.0,42.097856,-80.09147
60612,Lipitor,0,0,N/A,Atorvastatin Calcium,2412872.0,514081.75,0.21,0.0,41.880682,-87.6877
30374,Lipitor,2078.0,12754.52,6.14,Atorvastatin Calcium,14183953.0,2949316.66,0.21,0.000146,33.844371,-84.47405
19178,Lipitor,1170.0,15093.72,12.9,Atorvastatin Calcium,6010452.0,1372281.2,0.23,0.000195,40.001811,-75.11787
21297,Lipitor,0,0,N/A,Atorvastatin Calcium,1514631.0,293905.55,0.19,0.0,39.284707,-76.620489
43452,Lipitor,0,0,N/A,Atorvastatin Calcium,186197.0,43284.44,0.23,0.0,41.512855,-82.92948
32444,Lipitor,0,0,N/A,Atorvastatin Calcium,226862.0,43163.56,0.19,0.0,30.239849,-85.64577
43026,Lipitor,0,0,N/A,Atorvastatin Calcium,1001513.0,188837.68,0.19,0.0,40.021665,-83.14762
63129,Lipitor,0,0,N/A,Atorvastatin Calcium,252231.0,42891.65,0.17,0.0,38.469953,-90.32161
